NSE Code,Strategy,Total Traded Value,CMP,Change %,Return Z-Score,Vol Spike (x),RSI,Tech Score,Action,Target,Stop Loss,Diff %
MOBIKWIK,ETF Shop Method,0.0,196.2,1.5554321348620475e-06,0.1183488694634957,0.0,47.43060211990765,40,Buy,,,-2.5219103901982463
MOTHERSON,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,145.74,-3.769153181253798e-06,-0.3364620628908269,0.0,74.31978080658175,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,158.18 | 154.89,136.41 | 119.67,
MOTILALOFS,RDX Indicator,0.0,879.5,0.0,-0.2490359850050538,0.0,62.3148082759672,75,Explosive Buy,933.39,839.08,
MTARTECH,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,7879.5,0.0,-0.2237912175549508,0.0,69.57076148054173,80,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,8803.61 | 8374.33,7186.42 | 3760.25,
NATIONALUM,DMADMA (Reverse) | DMADMA (No SL),0.0,424.45,-2.8759644034159057e-06,-0.1368455054674478,0.0,57.70161792599211,95,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,454.72 | 451.11,350.4,
NAVINFLUOR,DMADMA (Reverse) | DMADMA (No SL),0.0,7129.0,0.0,-0.1412362530747431,0.0,57.80878127564271,80,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,7596.33 | 7576.7,6223.31,
NESTLEIND,DMADMA (Reverse) | DMADMA (No SL),0.0,1421.5,0.0,0.3094834573660792,0.0,52.984238566278165,70,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,1478.1 | 1510.77,1299.53,
NETWEB,DMADMA (Reverse) | DMADMA (No SL),0.0,4670.7,-4.181653542608321e-06,-0.1746563952642613,0.0,73.17000838154193,78,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5180.72 | 4964.02,3449.88,
NLCINDIA,DMADMA (Reverse) | DMADMA (No SL),0.0,347.55,3.5123095065796007e-06,-0.1330207548880943,0.0,59.37692140670301,80,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,379.98 | 369.38,271.3,
NMDC,DMADMA (Reverse) | DMADMA (No SL),0.0,87.99,2.4278105642660773e-06,0.0540653246760081,0.0,48.03772397587861,55,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,93.53 | 93.52,80.34,
NTPC,DMADMA (Reverse),0.0,386.9,1.5775434733906035e-06,0.1221639401614863,0.0,45.09068813813164,45,150 DMA Breakout | CMP > 200 DMA,405.64,359.08,
NYKAA,ETF Shop Method | DMADMA (Reverse) | DMADMA (No SL),0.0,262.3,4.6538436254154895e-06,0.0236848291559622,0.0,44.322749536129095,55,Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,277.7 | 278.77,258.71,-2.587575331386718
OFSS,RDX Indicator | DMADMA (No SL),0.0,9964.0,0.0,-0.1479595258233206,0.0,65.8574078312371,80,Explosive Buy | 50 DMA Breakout | CMP > 200 DMA,10709.04 | 10589.74,9405.22,
OIL,ETF Shop Method | DMADMA (Reverse),0.0,476.15,1.281847249921323e-06,0.0419705313941543,0.0,44.98358422885252,45,Buy | 150 DMA Breakout | CMP > 200 DMA,504.85,452.41,-2.118890139426364
OLAELEC,RDX Indicator,0.0,41.49,-4.045472950068836e-06,-0.215637449438316,0.0,68.35731596614029,93,Explosive Buy,45.66,38.36,
